Year,Gross
(2001),51308
(2000–2001),18964
(2011–2013),19059
(2004),24913
(2013–2014),15949
(1999–2001),8998
(2006),15561
(2023– ),224
(1991),35313
(2018),25244
(2023),1430
(2016),37258
(2004),13392
(2012–2015),10494
(2019–2023),2488
(2008),2133
(1995–1996),6602
(2006–2007),4979
(1992),3208
(2022– ),2739
(2021),21239
(2021– ),9053
(2015),18676
(2016–2018),9520
(2019),7406
(1980 TV Movie),4438
(2018),23180
(1973),7181
(1998),3712
(2020– ),3392
(1994),32641
(2018– ),4210
(2023– ),75
(2019),1842
(2023),316
(2022– ),2547
(1987),8966
(2020– ),1886
(1983–1986),22486
(2020),12578
(1996 Video),37198
(2008–2011),8810
(1993–1998),25117
(2023– ),1474
(1995–2000),12963
(2018–2019),555
(2005–2014),14172
(2023– ),158
(2012),17165
(1998–1999),10951
(1985 Video),11075
(2012),47673
(2014),12768
(2006),69151
(1989),7981
(1999),18005
(2022),1660
(2008–2009),13877
(2001),83365
(2018– ),2235
(2023),218
(2002–2005),20459
(1999–2023),10792
(2012),13695
(2023– ),117
(2020– ),4249
(2014–2015),8547
(2001),30438
(2011),20547
(2006),11082
(2016),6543
(2001–2002),17499
(1986–1989),10792
(2012),8997
(2022– ),657
(2015–2016),3040
(2023),1820
(2008–2009),17595
(2023– ),67
(2020),8957
(2014–2015),17834
(2017),14896
(2022),3372
(2023– ),330
(2023– ),540
(2011),10711
(2001–2003),4521
(2023– ),156
(1996–1997),28100
(2023),0
(1964 TV Movie),34987
(2021),12019
(2007),26352
(2022– ),1297
(2021–2022),1493
(2023– ),117
(2020),6694
(2015),42388
(2005),8108
(2003),43976
(2022– ),1206
(2020),10353
(2017– ),3602
(2013),11196
(1999–2000),10398
(2011),11530
(1985–1986),5456
(2015),6258
(2021–2022),1847
(2000–2001),2469
(1994–1995),12475
(2003–2006),5241
(2023– ),0
(2019),3774
(2011),1881
(2010–2011),8246
(2009–2010),6268
(1989–1990),20928
(2017),1197
(2006),6270
(1994 Video),527
(2013–2014),4298
(2015– ),3033
(2021),5061
(2021– ),2301
(2011),2169
(2021– ),3799
(1985–1991),11530
(2023– ),1012
(2019– ),3649
(2018),11171
(2011 Video),641
(2023– ),115
(2022–2023),1017
(2015),4291
(2023– ),124
(2021),4362
(2014–2015),559
(2022),2214
(1993 TV Movie),19146
(2018),10572
(1998),5039
(1998 Video),16660
(2011–2012),7463
(2004),8358
(2022–2023),1953
(2021– ),1824
(1988–1991),4552
(1994),9589
(1967–1968),3207
(1984–1985),5037
(2001 Video),13133
(2015),11694
(2018),3849
(2023),631
(2021),2788
(1979–1980),2593
(2013),29225
(2014),17482
(2023– ),1345
(1990–1991),15570
(2011),14390
(2019),14955
(1992–1994),5799
(2012–2016),4557
(1999),40357
(2022– ),2411
(2015–2016),7486
(2019),3932
(1991–1992),17213
(2022),7251
(1979),32210
(1993–2002),1676
(2006),6240
(2010),7672
(2007),17759
(2007–2008),10020
(2023),1214
(2007–2010),12245
(2009),23692
(2023),46
(2023– ),191
(2023),0
(2023– ),141
(2021– ),5621
(2016–2017),4948
(2018),7680
(2021),3768
(2005),57422
(2016–2018),5890
(2009),6625
(2009–2011),4743
(2018–2023),7156
(2020– ),6178
(2020),7450
(2023),123
(2015),16500
(2017),6195
(2008),3502
(2016),6173
(2019),3437
(2016),22755
(2012),5775
(2012–2014),4512
(2020),4955
(2014–2015),4632
(2011),3293
(2020),436
(2010),9735
(II) (2000–2004),3484
(2021),3722
(2020– ),2438
(2021– ),4191
(2022),955
(2023),764
(2018– ),1512
(2009),31041
(2015–2018),458
(2013),2979
(2021– ),5152
(2018),17331
(2023– ),59
(2003– ),1250
(2021–2022),2254
(2021– ),5813
(2008 Video),29720
(2000),14815
(2009–2013),2147
(2007),14620
(2023),1004
(2013– ),3705
(2008–2009),11916
(2023– ),119
(2015–2016),3398
(2017),4766
(I) (2019),3625
(2015),25868
(1999),23265
(2018–2019),1870
(I) (2004),39634
(2016),11970
(2014),4433
(2023),643
(2023),1432
(2018–2021),4053
(2017– ),3911
(2011),16466
(2022– ),1372
(2012),21901
(2016),9488
(2001),9086
(2007–2008),12380
(2006),7539
(2021),1422
(2015),3172
(2005–2023),10555
(1999),15698
(2019– ),2101
(2014),5795
(1993),5666
(2012),11711
(2015),292
(2006),14216
