Year,Gross
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2021– ),348
(2021– ),375
(1969– ),0
(1969– ),0
(2021– ),339
(2021– ),327
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2021– ),319
(2021– ),332
(2021– ),325
(1969– ),0
(2021– ),301
(2021– ),313
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2021– ),323
(2021– ),353
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2002–2003),5
(2002–2003),5
(1986–1987),0
(1983–1984),0
(1999– ),984
(1979–1980),0
(1997–2023),81
(1975),0
(1963–1964),0
(1970–1971),0
(1979–1980),0
(1979–1980),0
(1996–1997),0
(1996–1997),0
(1986–1987),0
(1986–1987),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2009),113
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2002–2003),0
(2002–2003),0
(2009),18
(2009),17
(1986–1987),0
(2009),0
(1986–1987),0
(1986–1987),0
(2017– ),1023
(1986–1987),0
(2021– ),112
(2021– ),101
(2021– ),96
(2021– ),92
(2021– ),96
(2021– ),95
(2021– ),93
(2021– ),88
(2021– ),90
(2021– ),84
(2021– ),84
(2021– ),109
(1975),0
(1986–1987),0
(1986–1987),0
(2002–2003),5
(2002–2003),0
(2009),19
(2009–2010),1718
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(1979–1980),0
(2009),0
(2002–2003),0
(2002–2003),0
(2002–2003),5
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2007–2008),7
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(2016– ),830
(1970–1971),0
(2016– ),810
(2007–2008),0
(2007–2008),0
(2016– ),805
(2016– ),858
(2016– ),823
(2016– ),1135
(2016– ),1236
(1986–1987),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1983–1984),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1963–1964),0
(1979–1980),0
(1996–1997),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1993–1994),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1986–1987),0
(1986–1987),0
(1983–1984),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1969– ),0
(1993–1994),0
(1986–1987),0
(1986–1987),0
(1993–1994),0
(1979–1980),0
(1970–1971),0
(1963–1964),0
(1979–1980),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(2006–2008),22
(2006–2008),24
(1986–1987),0
(1979–1980),0
(1986–1987),0
(1983–1984),0
(1999– ),1628
(1970–1971),0
(1963–1964),0
(1975),0
(2009),18
(1986–1987),0
(1963–1964),0
(1983–1984),0
(1975),0
(1979–1980),0
(1963–1964),0
(1986–1987),0
(1986–1987),0
(2009–2010),1669
(2009),0
(2009),0
(2009),0
(1986–1987),0
(1963–1964),0
(1986–1987),0
(1979–1980),0
(1963–1964),0
(2009),44
(1963–1964),0
(1996–1997),0
(1970–1971),0
(1983–1984),0
(1986–1987),0
(2017– ),1502
(1983–1984),0
(1975),0
(1963–1964),0
(1983–1984),0
(1971–1972),0
(1979–1980),0
(2021–2022),154
(1986–1987),0
(1986–1987),0
(1963–1964),0
(1986–1987),0
(2021– ),953
(2021– ),922
(2021– ),906
(2021– ),1223
(2021– ),1016
(2021– ),996
(2021– ),1286
(2021– ),1116
(2021– ),1178
(2021– ),988
(2021– ),810
(2021– ),1585
(2021– ),79
(2009),95
(1996–1997),0
(2020– ),0
(2020– ),0
(2020– ),0
(2020– ),0
(2020– ),0
(1970–1971),0
(1963–1964),0
(1963–1964),0
(1986–1987),0
(1983–1984),0
(1971–1972),0
(1986–1987),0
(1986–1987),0
(1983–1984),0
(2000–2001),0
(2000–2001),0
(2009),6
(1979–1980),0
(1995–1996),0
(1983–1984),0
(1970–1971),0
(2022),33
(1986–1987),0
(2017– ),2457
(1986–1987),0
(1986–1987),0
(1996– ),31
(1996– ),31
(1979–1980),0
(1972–1974),37
(1971–1972),0
(1986–1987),0
(1979–1980),0
(2007–2008),0
(2007–2008),0
(1970–1971),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2007–2008),0
(2009),90
(2007–2008),0
(2007–2008),0
(2007–2008),0
(1986–1987),0
(1975),0
(1979–1980),0
(1986–1987),0
(2018– ),268
(1985–1988),14
(1971–1972),0
(1996–1997),0
